FACTOR1	P-VALUE	CORR.P-VALUE	A	B	C	D	PERCENT	BACK.PER.	GENES
MA0098.1.ETS1	1.69393422621e-42	0.0	77.0	1625.0	66.0	16954.0	4.52	0.39	FGFRL1,AGBL4,LOC100271702,SDCCAG8,ONECUT3,TNXB,RIPK4,ITGA6,BCL11B,TBX3,GPLD1,KDM4B,DCP1B,HAND2,RAPGEF3,FBLIM1,CD86,DACT1,LHFPL2,SOX5,C1QTNF3-AMACR,ZFHX3,OR6S1,LOC399829,ELK3,BHLHE40,ILDR1,CNKSR1,HIST1H1T,LTC4S,FAM110C,SCNN1D,MEG9,NRG1,TTC40,PIRT,TMEM52,B9D1,KRT12,SPON2,LIPC,SULT1C4,KIAA1751,RXRA,PMEPA1,AHRR,AGAP1,ANG,ANKRD23,EBF2,IQCE,LTK,RAD51B,SMCO4,OSBPL5,ASPSCR1,CLDN4,LOC100292680,HTA,LRP5,C1QTNF3,ISLR,ADCY9,OTOF,KRTCAP3,ABCA4,EXD3,FLOT1,UQCRFS1,HSF5,COL12A1,RNF212
MA0104.1.Mycn	2.69767101734e-40	0.0	95.0	1607.0	131.0	16889.0	5.58	0.77	MIRLET7D,SCG5,TNRC6A,DFNB31,GPR180,BHLHE41,CACNA1C,VAV2,DOC2A,ARHGEF16,SPAG6,MIRLET7DHG,OPA3,TSPAN4,CCDC155,GPT,CSPG4,HM13-AS1,LRP5,ACSL6,RBBP5,ELK3,TCF19,FOXP1,KIF26A,ST14,C1orf110,C9orf3,SLC2A1,ZNF598,CMIP,PCNXL2,AGPAT6,GSX2,ZNF608,HTR2A,ORAI1,MRPL14,SENP7,HOXB1,RHOU,CUX1,TMEM67,ASPSCR1,NOTUM,SFT2D3,CD276,PTGER4,PRDM2,BAIAP2,CREBBP,NRN1,RCAN1,ZFHX3,NCOR2,LOC100506710,MARK2,ERN1,GABPB1,BAI1,C10orf90,LRRFIP1,F7,PIP5K1C,WDR90,ID1,KRTCAP3,HIVEP2,DUSP5P1,AGRN,LINC00640,HAND2,BIN1,SIM2,NPTN,DYNC1I1,PEAR1,C1orf177,ATG7,EYA4,ULK2,C10orf35,NR4A1,PHOX2A,COL24A1,PLEKHG3,UPP1,ANKLE2,MBD4,KIF13B,COL6A3
MA0004.1.Arnt	2.69767101734e-40	0.0	95.0	1607.0	131.0	16889.0	5.58	0.77	MIRLET7D,SCG5,TNRC6A,DFNB31,GPR180,BHLHE41,CACNA1C,VAV2,DOC2A,ARHGEF16,SPAG6,MIRLET7DHG,OPA3,TSPAN4,CCDC155,GPT,CSPG4,HM13-AS1,LRP5,ACSL6,RBBP5,ELK3,TCF19,FOXP1,KIF26A,ST14,C1orf110,C9orf3,SLC2A1,ZNF598,CMIP,PCNXL2,AGPAT6,GSX2,ZNF608,HTR2A,ORAI1,MRPL14,SENP7,HOXB1,RHOU,CUX1,TMEM67,ASPSCR1,NOTUM,SFT2D3,CD276,PTGER4,PRDM2,BAIAP2,CREBBP,NRN1,RCAN1,ZFHX3,NCOR2,LOC100506710,MARK2,ERN1,GABPB1,BAI1,C10orf90,LRRFIP1,F7,PIP5K1C,WDR90,ID1,KRTCAP3,HIVEP2,DUSP5P1,AGRN,LINC00640,HAND2,BIN1,SIM2,NPTN,DYNC1I1,PEAR1,C1orf177,ATG7,EYA4,ULK2,C10orf35,NR4A1,PHOX2A,COL24A1,PLEKHG3,UPP1,ANKLE2,MBD4,KIF13B,COL6A3
MA0006.1.Arnt::Ahr	9.63111931386e-49	0.0	117.0	1585.0	165.0	16855.0	6.87	0.97	OR52B6,LOC100130872,AKT3,C7orf50,MAFB,CNGB1,FSTL4,CCDC88C,C1orf177,FGFBP1,ZNF577,ZC3H18,ARHGEF10,LOC100507194,TNFRSF4,COL23A1,USP36,AKD1,CSPG4,MAPK15,CXCL6,ERI3,RABGAP1L,MOB3A,CTBP2,ZBTB24,GLIS2,TRAK1,UBE2D2,ITGA6,TIFAB,SWAP70,B9D1,C1QTNF3-AMACR,GSX2,FOS,RNF220,RRN3P2,NEUROG1,CLDN3,CLDN4,CDAN1,C8orf48,RHOU,CUX1,PMEPA1,TUBB2A,RPS6KA1,SLC25A44,TFAP4,HLX,SFT2D3,RGMA,RHBDF1,ATP6V0A1,CASKIN1,WNT5A,TRIM6,TMEM88,MKNK2,LOC493754,TMEM161B,PXDC1,FBXO3,TRIM58,LOC284837,PDE11A,ZNF503-AS2,LOC154449,DLC1,KIAA0513,DNAH3,RXRA,COL5A1,SYNE2,LIME1,LRP5,APOBEC3G,ZFYVE28,C19orf21,CXXC5,LMF1,KRBA1,CD59,MEGF8,RPTOR,TMEM159,RERE,CYP27A1,SLC9A3R2,IL17C,TBX3,ALX4,KLF5,ETS1,SPON2,TMEM249,TCP11,SHANK2,RASA3,C6orf132,BAI1,PTPRU,ARID3B,PMF1,C1QTNF3,NOTCH1,GNA12,RDH12,KRT33B,UBAP1L
MA0079.2.SP1	2.0838584488e-14	1.11457509888e-11	42.0	1660.0	83.0	16937.0	2.47	0.49	STAB1,ZFHX3,NFKBIE,TBX3,TIFAB,SEMA4B,NKX2-6,CLSTN1,OCIAD2,SIM2,C9orf169,MUM1,PCOLCE-AS1,BACH2,GDF7,NCOR2,FBXO24,CABLES1,PPP1R16A,NEUROG1,LFNG,RARA,AQP1,ASPSCR1,EFNA2,RNF152,NR2E1,GPT,KIF3C,TJP2,PTPRU,GFI1,TFAP4,RBM47,VAV2,NRXN2,HTA,GPX3,TBC1D19,CXXC5,CTNNBIP1,TOR4A,SYN2,ELMO3,COL4A2
UP00000_2_Smad3_secondary	8.94912605745e-13	4.7700876582e-10	16.0	1686.0	6.0	17014.0	0.94	0.04	RARA,C9orf169,NCOR2,LIME1,RAPGEFL1,ZCCHC14,SH3TC1,TBX3,SEMA4B,NTM,CTNNBIP1,TIFAB,NEUROG1,TOR4A,CLSTN1,OSBPL5
MA0162.1.Egr1	9.94578438135e-12	5.2911772741e-09	22.0	1680.0	24.0	16996.0	1.29	0.14	ANXA2R,RFX1,TSTD1,TIFAB,CLSTN1,B9D1,ZNF503-AS2,RARA,AMZ1,LHPP,C1orf177,CABLES1,PPP1R16A,NEUROG1,TPRA1,C10orf11,GPT,LOC648987,GNA12,RASA3,ANKLE2,ERI3,HOXA3,ATP6V0A1,CTNNBIP1,CARKD
UP00033_2_Zfp410_secondary	1.07409474622e-11	5.70345171091e-09	18.0	1684.0	13.0	17007.0	1.06	0.08	RARA,ASPSCR1,C9orf169,STAB1,AQP1,SEMA4B,EFNA2,MUM1,CPT1C,ZIC4,BOP1,LOC100132215,RNF39,HOXB-AS3,TIFAB,NEUROG1,TOR4A,PHLDA1,FOXN3-AS2,ELMO3
UP00043_2_Bcl6b_secondary	5.31242207443e-11	2.81558105719e-08	21.0	1681.0	24.0	16996.0	1.23	0.14	STAB1,KHDC1,TIFAB,ADAMTSL2,C9orf169,MUM1,BACH2,GDF7,ALX4,ZIC4,C6orf147,RNF152,NEUROG1,FANCI,CPT1C,AQP1,C6orf1,EFNA2,BOP1,ASPSCR1,TOR4A,SYN2,ELMO3
MA0003.1.TFAP2A	6.94618094323e-11	3.6745275489e-08	17.0	1685.0	13.0	17007.0	1.0	0.08	EPHX2,TMEM11,MUM1,LRP5,MUC2,LYSMD4,MUC6,MED27,BARX1,DOK7,EFNA2,SSH1,IRX5,CLU,LINC00482,ISLR2,HOXA-AS3,ASAP3
