FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0506.1.NRF1	7.5048e-32	5.9063e-29	24	239	41	26259	9.13%	0.16%	,LMF1,SNORA40,ISL1,EGFR,PAH,SOX1,AC108025.2,CACNA1B,PLEKHB2,CTD-2314G24.2,AC107057.2,ESRRG,C5ORF38,HOOK2,POU4F2,PCDHA1,PCDHA2,TJP1,PTF1A,RP11-188C12.3,COL4A4,SLC22A3,AC018865.8,SKOR2,FUT9
MA0732.1.EGR3	3.4779e-26	1.3685e-23	23	240	68	26232	8.75%	0.26%	,MARCH11,PCDHA1,C5ORF38,SNORA40,C11ORF70,PTF1A,SLC32A1,SRRM4,UNC80,AQPEP,CHST8,PCDHA2,KCNT1,NRSN1,SOX1,VSTM2A,ELAVL2
MA0162.2.EGR1	1.1156e-22	2.9267e-20	33	230	315	25985	12.55%	1.2%	,MARCH11,BOK-AS1,ELAVL2,NRSN1,RP11-964E11.2,NKX2-8,BOK,LHFPL4,FBLL1,FAM155A,AQPEP,VSTM2A,SLC32A1,FAM135B,IRX2,ESRRG,C5ORF38,TRIM64C,C11ORF70,PHOX2A,TRIM67,PCDHA2,PCDHA1,BARHL2,PTF1A,UNC80,FOXG1,KCNT1,TRIM49B,RP11-173L6.1
UP00007_1_Egr1_primary	2.3856e-19	4.6937e-17	20	243	96	26204	7.6%	0.37%	MARCH11,PCDHA2,RP11-124O11.1,C5ORF38,ELAVL2,CHST8,ATP8A2,VSTM2A,UNC80,KCNT1,AQPEP,C11ORF70,PCDHA1,PAH,SOX1,SKOR2
MA0472.2.EGR2	3.1056e-19	4.8882e-17	18	245	67	26233	6.84%	0.25%	,MARCH11,PCDHA1,HS3ST2,SNORA40,CHST8,PTF1A,SRRM4,UNC80,KCNT1,C11ORF70,PCDHA2,SOX1,C5ORF38
MA0470.1.E2F4	2.6238e-15	3.4416e-13	15	248	66	26234	5.7%	0.25%	PCDH8,PLD5,DRD5,SLC2A9,INTS12,ATP8A2,RP11-173L6.1,SLC32A1,CELF4,FAM155A,CHST8,FAT1,SOX1,SLC6A3
UP00065_1_Zfp161_primary	5.8631e-15	6.5919e-13	12	251	30	26270	4.56%	0.11%	,ESRRG,C5ORF38,SNORA40,HOOK2,PTF1A,SRRM4,NKX2-8,PLEKHB2,DPP6,KCNA7,FUT9
UP00002_1_Sp4_primary	1.0539e-13	1.0368e-11	18	245	152	26148	6.84%	0.58%	AC009166.5,BOK-AS1,SLC2A9,VSTM2A,DRD5,UNC80,RP11-56P9.10,TBX18,AQPEP,C11ORF70,C5ORF38,BOK,PAH,IRX2
UP00003_1_E2F3_primary	1.9255e-13	1.6837e-11	10	253	20	26280	3.8%	0.08%	,ISL1,POU4F2,DPP6,CTD-2314G24.2,NMNAT2,KCNA7,SOX1,FUT9
MA0527.1.ZBTB33	5.7792e-13	4.5482e-11	10	253	23	26277	3.8%	0.09%	NRG1,UGT8,RP11-129I19.2,AMER2,ADRA2C,CHST8,CTD-2314G24.2,ISL1,CRMP1,IRX2
UP00001_1_E2F2_primary	3.1983e-12	2.2882e-10	9	254	18	26282	3.42%	0.07%	,ISL1,POU4F2,DPP6,CTD-2314G24.2,NMNAT2,KCNA7,FUT9
UP00088_1_Plagl1_primary	3.6897e-12	2.4198e-10	12	251	57	26243	4.56%	0.22%	,RP1-167F1.2,C5ORF38,ELAVL2,ATP8A2,UNC80,SHISA6,COL4A4,GAD2,IRX2
MA0516.1.SP2	5.1698e-12	3.1297e-10	26	237	468	25832	9.89%	1.78%	,BOK-AS1,VSTM2A,CELF4,LHFPL4,BOK,FAM155A-IT1,RP11-56P9.10,AQPEP,IRX2,AC009166.5,C5ORF38,C11ORF70,TRIM67,PCDHA2,PCDHA1,GPR6,SLC2A9,PTF1A,DRD5,UNC80,KCNT1,SKOR2
MA0003.3.TFAP2A	1.1630e-11	6.5380e-10	15	248	126	26174	5.7%	0.48%	SLC6A3,,ESRRG,ELAVL2,CELF4,AQPEP,SUSD5,AC018641.7,SLC22A3,PHOX2A,MARCH11,IRX2
MA0131.2.HINFP	4.1475e-11	2.1761e-09	12	251	72	26228	4.56%	0.27%	KCNH5,,BARHL2,RP11-450H6.3,CELF4,KCNT1,AQPEP,LINC00404,FAM155A-IT1,HMCN2,MARCH11,AC107057.2,AC108025.2
MA0740.1.KLF14	2.3192e-10	1.1408e-08	14	249	132	26168	5.32%	0.5%	PCDHA2,PCDHA1,BOK-AS1,SLC2A9,CHST8,ISL1,DRD5,C11ORF70,C5ORF38,BOK,SHE,CTD-2314G24.2,SKOR2,IRX2
MA0632.1.Tcfl5	2.6731e-10	1.2375e-08	9	254	33	26267	3.42%	0.13%	C5ORF38,PTF1A,AMER2,SNAP91,POU4F2,RP11-707M1.1,EYA2,DPP6,IRX2
MA0079.3.SP1	7.2520e-10	3.1708e-08	26	237	594	25706	9.89%	2.26%	MARCH11,BOK-AS1,VSTM2A,CELF4,EGFR,BOK,LHFPL4,KCNA7,C18ORF42,RP11-56P9.10,AQPEP,DLGAP1,IRX2,AC009166.5,C5ORF38,C11ORF70,PCDHA2,PCDHA1,GPR6,SLC2A9,PTF1A,DRD5,UNC80,KCNT1,FAT1
MA0741.1.KLF16	9.2320e-10	3.8240e-08	17	246	240	26060	6.46%	0.91%	PCDHA2,AQPEP,AC009166.5,BOK-AS1,SNORA40,CHST8,PTF1A,CELF4,SLC2A9,RP11-56P9.10,PCDHA1,NKX1-1,C11ORF70,C5ORF38,BOK,VSTM2A,LHFPL4,IRX2,SKOR2,DRD5
MA0733.1.EGR4	5.8509e-09	2.3023e-07	11	252	91	26209	4.18%	0.35%	C5ORF38,SNORA40,C11ORF70,PTF1A,SRRM4,UNC80,CHST8,SOX1
MA0146.2.Zfx	7.2061e-09	2.7006e-07	18	245	315	25985	6.84%	1.2%	SLC6A3,PLD5,VSTM2A,GRM5-AS1,SLC2A9,PTF1A,RP11-1263C18.1,DRD5,KCNK12,THEGL,ADRA2C,POU4F2,SGCZ,SALL3,GLDCP1,GRM5,SKOR2,SLC22A3
MA0746.1.SP3	1.3355e-08	4.7774e-07	17	246	290	26010	6.46%	1.1%	PCDHA2,AQPEP,AC009166.5,C5ORF38,SLC2A9,CHST8,IRX2,RP11-429J17.7,CELF4,RP11-56P9.10,NKX1-1,C11ORF70,PCDHA1,VSTM2A,LHFPL4,ZYG11A,SKOR2,DRD5
UP00028_1_Tcfap2e_primary	1.9525e-08	6.6810e-07	10	253	79	26221	3.8%	0.3%	,MARCH11,ESRRG,SLC6A3,FOXQ1,CELF4,SUSD5,AC018641.7
UP00010_1_Tcfap2b_primary	3.3850e-07	1.1100e-05	9	254	83	26217	3.42%	0.32%	FOXQ1,SLC32A1,LHFPL4,PAH,RP11-429J17.7,GAD2
MA0138.2.REST	5.5691e-07	1.7532e-05	12	251	181	26119	4.56%	0.69%	C18ORF42,GRP,ATP8A2,RP11-1263C18.1,KCTD8,ROBO1,HECW1,CARTPT,LRFN5,LINC00485,DPP6,GPR6
MA0811.1.TFAP2B	6.9190e-07	2.0943e-05	9	254	91	26209	3.42%	0.35%	FOXQ1,RP11-429J17.7,RP11-964E11.2,AQPEP,COL4A4,LHFPL4,PAX9,SLC32A1,GAD2
UP00099_1_Ascl2_primary	7.7136e-07	2.2484e-05	12	251	187	26113	4.56%	0.71%	C5ORF38,ISL1,TRIM64C,KCNK2,SHE,TRIM49B,PAH,RP11-707M1.1,IRX2,CTD-2314G24.2,EYA2
MA0524.2.TFAP2C	6.0566e-06	1.7023e-04	8	255	90	26210	3.04%	0.34%	FOXQ1,RP11-429J17.7,RP11-964E11.2,AQPEP,LHFPL4,PAX9,SLC32A1,GAD2
MA1099.1.Hes1	7.7054e-06	2.0911e-04	6	257	42	26258	2.28%	0.16%	BARHL2,HOOK2,PTF1A,TACSTD2,RP11-707M1.1,EYA2
MA0048.2.NHLH1	1.0662e-05	2.7971e-04	9	254	130	26170	3.42%	0.49%	C5ORF38,ISL1,RP1-79C4.1,SGCZ,CTD-2314G24.2,PRRX1,PAH,IRX2
MA0599.1.KLF5	1.1239e-05	2.8531e-04	16	247	431	25869	6.08%	1.64%	MARCH11,AC009166.5,C5ORF38,C18ORF42,SLC2A9,PTF1A,CELF4,RP11-56P9.10,AQPEP,C11ORF70,FAT1,IRX2,RP11-124O11.1,DRD5
MA0471.1.E2F6	1.9291e-05	4.7443e-04	14	249	352	25948	5.32%	1.34%	SLC6A3,PLD5,DRD5,SLC2A9,NRG1,ATP8A2,PTF1A,TEKT3,ASCL1,AC136932.2,FAM155A,RP11-188C12.3,LINC00273,CRMP1,CACNA1B
UP00057_1_Zic2_primary	2.3397e-05	5.5799e-04	6	257	52	26248	2.28%	0.2%	,CELF4,NKX1-1,SALL3,TBX18,SKOR2
MA0696.1.ZIC1	3.2049e-05	7.4185e-04	8	255	115	26185	3.04%	0.44%	GAD2,KCNC3,ISL1,CELF4,EGFR,RP11-56P9.10,SHE,CTD-2314G24.2,VSTM2A,NR1H2
MA0767.1.GCM2	4.5064e-05	1.0133e-03	6	257	59	26241	2.28%	0.22%	PCDH8,AVPR1A,SHISA6,NMNAT2,ZYG11A,AC107057.2,AC108025.2
MA0822.1.HES7	4.8476e-05	1.0527e-03	7	256	89	26211	2.66%	0.34%	PCDHA2,PCDHA1,C5ORF38,PTF1A,SHE,RP11-707M1.1,EYA2
MA0499.1.Myod1	4.9492e-05	1.0527e-03	12	251	288	26012	4.56%	1.1%	C5ORF38,SLC2A9,ISL1,DRD5,KCNK2,RP1-79C4.1,CTD-2314G24.2,PRRX1,RP11-707M1.1,IRX2
MA0039.2.Klf4	6.3155e-05	1.3080e-03	13	250	344	25956	4.94%	1.31%	PLD5,AC009166.5,C5ORF38,CHST8,PTF1A,CELF4,RP11-56P9.10,AQPEP,C11ORF70,CTD-2314G24.2,ISL1,IRX2
MA0844.1.XBP1	7.2552e-05	1.4641e-03	5	258	39	26261	1.9%	0.15%	TACC2,PAX1
UP00093_1_Klf7_primary	1.2692e-04	2.4972e-03	11	252	271	26029	4.18%	1.03%	PCDHA2,AC009166.5,BOK-AS1,PTF1A,CELF4,RP11-56P9.10,PCDHA1,AQPEP,C5ORF38,BOK,LHFPL4,IRX2
MA0798.1.RFX3	1.3512e-04	2.5936e-03	6	257	73	26227	2.28%	0.28%	C11ORF70,AMER2,AVPR1A
MA0799.1.RFX4	1.4487e-04	2.7146e-03	6	257	74	26226	2.28%	0.28%	C11ORF70,AMER2,AVPR1A
UP00087_1_Tcfap2c_primary	1.6606e-04	3.0392e-03	6	257	76	26224	2.28%	0.29%	FOXQ1,SUSD5,CELF4,AC018641.7
MA0600.2.RFX2	1.7753e-04	3.0506e-03	6	257	77	26223	2.28%	0.29%	C11ORF70,AMER2,AVPR1A
UP00070_1_Gcm1_primary	1.7831e-04	3.0506e-03	5	258	48	26252	1.9%	0.18%	PCDH8,AVPR1A,SHISA6,NMNAT2,AC107057.2,AC108025.2
UP00102_1_Zic1_primary	1.7831e-04	3.0506e-03	5	258	48	26252	1.9%	0.18%	NKX1-1,,SKOR2,SALL3,TBX18
MA0823.1.HEY1	2.5193e-04	4.2184e-03	5	258	52	26248	1.9%	0.2%	PTF1A,RP11-707M1.1,EYA2,BARHL2,SHE
MA0510.2.RFX5	4.0300e-04	6.6076e-03	5	258	58	26242	1.9%	0.22%	C11ORF70,AMER2
MA0259.1.ARNT::HIF1A	4.7973e-04	7.7051e-03	4	259	33	26267	1.52%	0.13%	PAH,RP11-707M1.1,SHE,EYA2
MA0751.1.ZIC4	6.0058e-04	9.4532e-03	6	257	98	26202	2.28%	0.37%	VSTM2A,CELF4,EGFR,RP11-56P9.10,SHE,GAD2
MA0649.1.HEY2	6.1408e-04	9.4762e-03	5	258	64	26236	1.9%	0.24%	PTF1A,RP11-707M1.1,EYA2,BARHL2,SHE
MA0504.1.NR2C2	6.9050e-04	1.0393e-02	10	253	281	26019	3.8%	1.07%	MARCH11,C18ORF42,AC005152.2,FAM155A,AQPEP,SLC18A3,CNGA3,CHAT,PRRX1,AC092675.3
UP00097_1_Mtf1_primary	7.0011e-04	1.0393e-02	5	258	66	26234	1.9%	0.25%	ESRRG,GRM5-AS1,BARHL2,RP11-129I19.2,DLGAP1,GRM5,IRX2
MA0638.1.CREB3	7.1315e-04	1.0393e-02	4	259	37	26263	1.52%	0.14%	PAX1
MA0067.1.Pax2	9.3402e-04	1.3365e-02	4	259	40	26260	1.52%	0.15%	FBLL1,PAX1
MA0821.1.HES5	1.1128e-03	1.5639e-02	6	257	111	26189	2.28%	0.42%	C5ORF38,PTF1A,BARHL2,RP11-707M1.1,CA10,EYA2
UP00005_1_Tcfap2a_primary	1.2717e-03	1.7559e-02	5	258	76	26224	1.9%	0.29%	FOXQ1,GLDCP1,SUSD5,THEGL,AC018641.7
MA0521.1.Tcf12	1.6439e-03	2.2305e-02	9	254	263	26037	3.42%	1.0%	C5ORF38,ISL1,KCNK2,RP1-79C4.1,CTD-2314G24.2,PRRX1,RP11-707M1.1,IRX2
MA0697.1.ZIC3	1.6950e-03	2.2609e-02	6	257	121	26179	2.28%	0.46%	GAD2,EGFR,RP11-56P9.10,SHE,RP11-124O11.1,RP11-227F19.2,RP11-227F19.1
MA0500.1.Myog	1.7281e-03	2.2667e-02	9	254	265	26035	3.42%	1.01%	C5ORF38,ISL1,KCNK2,RP1-79C4.1,CTD-2314G24.2,PRRX1,RP11-707M1.1,IRX2
