down.genes_DE_promoter,up_genes_DE_promoter
MA0116.1_Zfp423,0.0395472961361,0.00013226206955
MA0107.1_RELA,0.06,0.00397327137419
UP00028.1_Tcfap2e,9.53240405499e-08,8.61910542937e-12
MA0528.1_ZNF263,4.8738790781e-13,6.74447164783e-11
MA0506.1_NRF1,1e-100,1e-100
M00245_EGR3,1e-100,1e-100
UP00021.1_Zfp281,1e-100,1e-100
MA0079.3_SP1,1e-100,1e-100
UP00002.1_Sp4,1e-100,1e-100
MA0471.1_E2F6,1e-100,1e-100
UP00065.1_Zfp161,1e-100,1e-100
MA0469.1_E2F3,1e-100,1e-100
MA0024.2_E2F1,1e-100,1e-100
MA0039.2_Klf4,1e-100,1e-100
MA0162.2_EGR1,1e-100,1e-100
UP00093.1_Klf7,1e-100,1e-100
MA0516.1_SP2,1e-100,1e-100
M00244_EGR4,1e-100,1e-100
MA0599.1_KLF5,1e-100,1e-100
MA0470.1_E2F4,1e-100,1e-100
MA0472.1_EGR2,1e-100,1e-100
UP00006.1_Zic3,1e-100,9.64006652282e-13
UP00022.1_Zfp740,1e-100,1.81854531434e-12
MA0524.1_TFAP2C,9.83657599818e-14,1.72128977738e-12
UP00102.1_Zic1,1e-100,9.35451716089e-12
UP00057.1_Zic2,1e-100,9.35451716089e-12
UP00088.1_Plagl1,1e-100,2.34332553362e-11
MA0163.1_PLAG1,1e-100,2.62789789929e-11
MA0155.1_INSM1,6.88813450722e-11,2.36621389149e-10
MA0527.1_ZBTB33,1e-100,8.52367509907e-10
UP00087.1_Tcfap2c,3.41948691585e-13,2.94487934038e-09
UP00001.1_E2F2,1e-100,5.15540446999e-08
MA0493.1_Klf1,1e-100,3.42256278874e-08
UP00005.1_Tcfap2a,2.75328093657e-10,3.47885605878e-08
UP00010.1_Tcfap2b,9.83657599818e-14,1.37909216824e-07
MA0139.1_CTCF,4.47578196727e-10,2.40897000681e-07
MA0154.2_EBF1,7.23799410407e-08,1.93117232683e-06
MA0003.2_TFAP2A,5.57457413564e-11,9.02832030802e-07
MA0073.1_RREB1,4.57101023699e-12,1.30383818864e-06
MA0028.1_ELK1,1e-100,5.38173266629e-06
MA0504.1_NR2C2,2.4480417693e-13,1.35818660555e-05
MA0057.1_MZF1.5-13,1.74496807004e-07,1.54837332905e-05
MA0056.1_MZF1.1-4,0.000166614683678,5.11450881646e-11
MA0146.2_Zfx,1e-100,0.0013518075525
MA0048.1_NHLH1,0.000466447667344,0.00225042284172
MA0101.1_REL,0.00288394929786,0.0146384853034
UP00047.1_Zbtb7b,4.22055027698e-05,0.0240009355777
MA0076.2_ELK4,1e-100,0.0280743268554
MA0067.1_Pax2,6.76432274416e-07,0.0417125292208
UP00024.1_Glis2,0.00163653638572,0.0339817329686
MA0138.2_REST,7.46376438153e-05,0.0369272650187
MA0080.3_Spi1,0.00481301390724,0.06
MA0598.1_EHF,0.00563843551019,0.06
MA0473.1_ELF1,0.00244641156392,0.06
MA0112.2_ESR1,0.00297701950476,0.06
MA0522.1_Tcf3,0.000342364827718,0.06
MA0014.2_PAX5,0.000388604193881,0.06
MA0131.1_HINFP,0.000158640056742,0.06
MA0474.1_Erg,6.6870679217e-05,0.06
MA0060.2_NFYA,1.24418441105e-08,0.06
MA0475.1_FLI1,3.73497954786e-09,0.06
MA0098.2_Ets1,1.36287781061e-09,0.06
MA0062.2_GABPA,1e-100,0.06
MA0502.1_NFYB,6.14512774e-10,0.06
