DE down.genes,down.genes,down.genes_DE_promoter,up_genes_DE_promoter
Zfp423 MA0116.1,MA0116.1,MA0116.1_Zfp423,0.0395472961361,0.00013226206955
RELA MA0107.1,MA0107.1,MA0107.1_RELA,0.06,0.00397327137419
Tcfap2e UP00028.1,UP00028.1,UP00028.1_Tcfap2e,9.53240405499e-08,8.61910542937e-12
ZNF263 MA0528.1,MA0528.1,MA0528.1_ZNF263,4.8738790781e-13,6.74447164783e-11
NRF1 MA0506.1,MA0506.1,MA0506.1_NRF1,1e-100,1e-100
Zfp281 UP00021.1,UP00021.1,UP00021.1_Zfp281,1e-100,1e-100
SP1 MA0079.3,MA0079.3,MA0079.3_SP1,1e-100,1e-100
Sp4 UP00002.1,UP00002.1,UP00002.1_Sp4,1e-100,1e-100
E2F6 MA0471.1,MA0471.1,MA0471.1_E2F6,1e-100,1e-100
Zfp161 UP00065.1,UP00065.1,UP00065.1_Zfp161,1e-100,1e-100
E2F3 MA0469.1,MA0469.1,MA0469.1_E2F3,1e-100,1e-100
E2F1 MA0024.2,MA0024.2,MA0024.2_E2F1,1e-100,1e-100
Klf4 MA0039.2,MA0039.2,MA0039.2_Klf4,1e-100,1e-100
EGR1 MA0162.2,MA0162.2,MA0162.2_EGR1,1e-100,1e-100
Klf7 UP00093.1,UP00093.1,UP00093.1_Klf7,1e-100,1e-100
SP2 MA0516.1,MA0516.1,MA0516.1_SP2,1e-100,1e-100
KLF5 MA0599.1,MA0599.1,MA0599.1_KLF5,1e-100,1e-100
E2F4 MA0470.1,MA0470.1,MA0470.1_E2F4,1e-100,1e-100
EGR2 MA0472.1,MA0472.1,MA0472.1_EGR2,1e-100,1e-100
Zic3 UP00006.1,UP00006.1,UP00006.1_Zic3,1e-100,9.64006652282e-13
Zfp740 UP00022.1,UP00022.1,UP00022.1_Zfp740,1e-100,1.81854531434e-12
TFAP2C MA0524.1,MA0524.1,MA0524.1_TFAP2C,9.83657599818e-14,1.72128977738e-12
Zic1 UP00102.1,UP00102.1,UP00102.1_Zic1,1e-100,9.35451716089e-12
Zic2 UP00057.1,UP00057.1,UP00057.1_Zic2,1e-100,9.35451716089e-12
Plagl1 UP00088.1,UP00088.1,UP00088.1_Plagl1,1e-100,2.34332553362e-11
PLAG1 MA0163.1,MA0163.1,MA0163.1_PLAG1,1e-100,2.62789789929e-11
INSM1 MA0155.1,MA0155.1,MA0155.1_INSM1,6.88813450722e-11,2.36621389149e-10
ZBTB33 MA0527.1,MA0527.1,MA0527.1_ZBTB33,1e-100,8.52367509907e-10
Tcfap2c UP00087.1,UP00087.1,UP00087.1_Tcfap2c,3.41948691585e-13,2.94487934038e-09
E2F2 UP00001.1,UP00001.1,UP00001.1_E2F2,1e-100,5.15540446999e-08
Klf1 MA0493.1,MA0493.1,MA0493.1_Klf1,1e-100,3.42256278874e-08
Tcfap2a UP00005.1,UP00005.1,UP00005.1_Tcfap2a,2.75328093657e-10,3.47885605878e-08
Tcfap2b UP00010.1,UP00010.1,UP00010.1_Tcfap2b,9.83657599818e-14,1.37909216824e-07
CTCF MA0139.1,MA0139.1,MA0139.1_CTCF,4.47578196727e-10,2.40897000681e-07
EBF1 MA0154.2,MA0154.2,MA0154.2_EBF1,7.23799410407e-08,1.93117232683e-06
TFAP2A MA0003.2,MA0003.2,MA0003.2_TFAP2A,5.57457413564e-11,9.02832030802e-07
RREB1 MA0073.1,MA0073.1,MA0073.1_RREB1,4.57101023699e-12,1.30383818864e-06
ELK1 MA0028.1,MA0028.1,MA0028.1_ELK1,1e-100,5.38173266629e-06
NR2C2 MA0504.1,MA0504.1,MA0504.1_NR2C2,2.4480417693e-13,1.35818660555e-05
MZF1.5-13 MA0057.1,MA0057.1,MA0057.1_MZF1.5-13,1.74496807004e-07,1.54837332905e-05
MZF1.1-4 MA0056.1,MA0056.1,MA0056.1_MZF1.1-4,0.000166614683678,5.11450881646e-11
Zfx MA0146.2,MA0146.2,MA0146.2_Zfx,1e-100,0.0013518075525
NHLH1 MA0048.1,MA0048.1,MA0048.1_NHLH1,0.000466447667344,0.00225042284172
REL MA0101.1,MA0101.1,MA0101.1_REL,0.00288394929786,0.0146384853034
Zbtb7b UP00047.1,UP00047.1,UP00047.1_Zbtb7b,4.22055027698e-05,0.0240009355777
ELK4 MA0076.2,MA0076.2,MA0076.2_ELK4,1e-100,0.0280743268554
Pax2 MA0067.1,MA0067.1,MA0067.1_Pax2,6.76432274416e-07,0.0417125292208
Glis2 UP00024.1,UP00024.1,UP00024.1_Glis2,0.00163653638572,0.0339817329686
REST MA0138.2,MA0138.2,MA0138.2_REST,7.46376438153e-05,0.0369272650187
Spi1 MA0080.3,MA0080.3,MA0080.3_Spi1,0.00481301390724,0.06
EHF MA0598.1,MA0598.1,MA0598.1_EHF,0.00563843551019,0.06
ELF1 MA0473.1,MA0473.1,MA0473.1_ELF1,0.00244641156392,0.06
ESR1 MA0112.2,MA0112.2,MA0112.2_ESR1,0.00297701950476,0.06
Tcf3 MA0522.1,MA0522.1,MA0522.1_Tcf3,0.000342364827718,0.06
PAX5 MA0014.2,MA0014.2,MA0014.2_PAX5,0.000388604193881,0.06
HINFP MA0131.1,MA0131.1,MA0131.1_HINFP,0.000158640056742,0.06
Erg MA0474.1,MA0474.1,MA0474.1_Erg,6.6870679217e-05,0.06
NFYA MA0060.2,MA0060.2,MA0060.2_NFYA,1.24418441105e-08,0.06
FLI1 MA0475.1,MA0475.1,MA0475.1_FLI1,3.73497954786e-09,0.06
Ets1 MA0098.2,MA0098.2,MA0098.2_Ets1,1.36287781061e-09,0.06
GABPA MA0062.2,MA0062.2,MA0062.2_GABPA,1e-100,0.06
NFYB MA0502.1,MA0502.1,MA0502.1_NFYB,6.14512774e-10,0.06
