	kochsenescence.hypo,koch_senescence_hyper,fibroblasts_f6_hypo,fibroblasts_f8_hyper,fibroblasts_f8_hypo,fibroblasts_f6_hyper
MA0004.1_Arnt,1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
MA0104.1_Mycn,1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
MA0006.1_Arnt::Ahr,1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
MA0098.2_ETS1,1e-100,1e-100,1e-100,1e-100,1e-100,1e-100
MA0003.1_TFAP2A,0.000146733687161,3.6745275489e-08,2.87056212134e-09,2.72779904459e-05,0.00316634824232,1.01627556892e-06
MA0162.1_Egr1,0.000850996373098,5.2911772741e-09,3.34132721491e-11,0.000769867846076,0.00165410057576,9.19451675655e-05
MA0018.2_CREB1,0.0026556785909,1.31967288923e-05,5.89528426076e-14,4.2430599958e-05,0.00882582435709,0.00743712213578
MA0076.2_ELK4,0.06,0.00265251013696,1.96748173309e-11,2.72779904459e-05,2.44806994676e-08,1.59873397398e-06
UP00065.1_Zfp161,0.06,3.32288766092e-06,0.000834694651033,0.06,0.000289109318891,0.0433178912162
MA0039.2_Klf4,0.06,0.00117579067093,1.20845582829e-06,0.06,7.87908188982e-06,3.33828197419e-07
MA0146.1_Zfx,0.06,0.06,5.04930541823e-11,0.06,1e-100,1e-100
MA0079.1_SP1,0.06,0.06,6.22578211207e-10,0.06,1e-100,1e-100
MA0056.1_MZF11-4,1.01368809013e-07,0.000105320693382,1.90647497789e-11,1.78869166561e-05,0.06,0.06
MA0147.1_Myc,5.88418203051e-13,0.06,0.00137767428033,0.00158017188532,0.0405536197906,0.06
MA0058.1_MAX,1e-100,0.06,1.00249261281e-06,0.0116809369606,0.06,0.06
MA0130.1_ZNF354C,0.00331530149724,0.06,1e-100,2.4538305653e-06,0.06,0.06
MA0259.1_HIF1A::ARNT,0.000110544698943,0.06,1.5059997005e-07,0.00439105081628,0.06,0.06
UP00057.1_Zic2,0.0173235203245,0.06,0.000364528887375,0.06,0.06,0.0143183259635
UP00006.1_Zic3,0.025700802209,0.06,0.000364528887375,0.06,0.06,0.06
MA0059.1_MYC::MAX,1e-100,0.06,0.0241620131749,0.06,0.06,0.06
MA0028.1_ELK1,0.06,0.0422651353724,1e-100,0.00139452611734,0.06,4.25744572373e-05
MA0062.2_GABPA,0.06,0.06,0.00104668668979,0.00193849089384,0.06,0.00743712213578
UP00102.1_Zic1,0.06,0.06,0.06,0.0116809369606,0.06,0.06
UP00026.1_Zscan4,0.06,0.06,2.32339107398e-07,0.00950945636964,0.06,0.06
MA0067.1_Pax2,0.0264218662339,0.0264130606485,3.76809467906e-06,0.06,8.06621325289e-09,0.06
MA0095.1_YY1,0.06,0.06,0.000120932996835,0.06,0.00531572210001,0.06
UP00020.1_Atf1,0.06,0.06,0.0259734499927,0.06,0.06,0.06
UP00042.1_Gm397,0.06,0.06,0.00490919037557,0.06,0.06,0.06
UP00097.1_Mtf1,0.06,0.06,0.00631079292103,0.06,0.06,0.06
UP00031.1_Zbtb3,0.06,0.06,0.06,0.06,0.0015419899279,0.00122511775005
MA0111.1_Spz1,0.06,0.06,0.06,0.06,0.0222237536135,0.000154816868726
MA0071.1_RORA1,0.06,0.06,0.06,0.06,0.00138561759658,0.06
UP00066.1_Hnf4a,0.06,0.06,0.06,0.06,3.60483398512e-05,0.06
MA0158.1_HOXA5,0.06,0.06,0.06,0.06,5.89528426076e-12,0.06
UP00053.1_Rxra,0.06,0.06,0.06,0.06,5.90396933331e-06,0.06
UP00005.1_Tcfap2a,0.06,0.0223693505101,0.06,0.06,0.06,0.06
MA0131.1_MIZF,0.06,0.06,0.06,0.0432816521702,0.06,0.06
UP00103.1_Jundm2,0.06,0.06,0.0493328895827,0.06,0.06,0.06
UP00001.1_E2F2,0.06,0.000284496691219,0.06,0.06,0.06,0.00249242245981
UP00003.1_E2F3,0.06,9.44805706468e-05,0.06,0.06,0.0269603452119,0.06
MA0024.1_E2F1,0.06,1.40395925998e-05,0.06,0.06,0.0429305083848,0.06
UP00093.1_Klf7,0.0397309706894,0.00288107210017,0.06,0.06,0.06,0.06
UP00028.1_Tcfap2e,0.06,0.00235068730427,0.06,0.06,0.06,0.06
UP00049.1_Sp100,0.06,0.00682003120303,0.06,0.06,0.06,0.06
UP00087.1_Tcfap2c,0.06,0.00722513284725,0.06,0.06,0.06,0.06
UP00070.1_Gcm1,0.00840225848064,0.06,0.06,0.06,0.06,0.06
UP00117.1_Hoxd11_3873.1,0.00484788615941,0.06,0.06,0.06,0.06,0.06
UP00081.1_Mybl1,2.65964986604e-05,0.06,0.06,0.06,0.06,0.06
UP00092.1_Myb,2.65964986604e-05,0.06,0.06,0.06,0.06,0.06
UP00114.1_Homez_1063.2,8.99320917847e-07,0.06,0.06,0.06,0.06,0.06
UP00072.1_IRC900814,1.79029599401e-06,0.06,0.06,0.06,0.06,0.06
