CpG_ID,CHR,MAPINFO,Probe_SNPs,Probe_SNPs_10,Methyl27_Loci,UCSC_RefGene_Name,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island,R_laml_age,R_hannum_age,Mean_laml,Variance_laml,Mean_hannum,Variance_hannum,R_weidner_i0,R_horvath_i0,R_hannum_i0,R_inters_i0
cg00172603,1,54822031,,,NA,SSBP3;SSBP3;SSBP3,Body;Body;Body,chr1:54821990-54822333,Island,-0.110132849933757,-0.1677547416749,0.533625215566826,0.145842033090437,0.102651873894817,0.00400259821935694,0.022642610314209,-0.0872923454943646,-0.0486224848278157,0.184386106922296
cg00490406,1,159046773,rs16841642,,NA,AIM2,TSS200,,,0.0910674114334765,-0.104483821511641,0.378129289005106,0.101264838610575,0.481190495884146,0.00616249980006052,0.0165383999046731,0.0257012897897466,-0.11455748994342,-0.177938390865051
cg00585901,1,155035388,,,NA,EFNA4;EFNA4;EFNA4,TSS1500;TSS1500;TSS1500,chr1:155034925-155036578,Island,-0.147745023373172,0.0727627605703686,0.251470981527238,0.105214600867096,0.00988846130919207,0.000130823693099583,0.019628307166366,-0.0669679874102715,-0.0430573646213836,0.086585611386637
cg00813378,1,1475209,,,NA,C1orf70,Body,chr1:1474962-1475220,Island,-0.222891277005871,-0.149570824423514,0.604092711679516,0.104896944750963,0.21523968382622,0.00617168656075792,0.118242368709758,-0.0473322841892897,0.0271164015728943,0.241090835877439
cg00935967,1,3822762,,,NA,LOC100133612,Body,chr1:3824219-3824456,N_Shore,0.138294918557097,-0.0135482678635797,0.549168348518648,0.101549606171996,0.762008948780488,0.00142614873426067,0.194946029345901,0.118153616054369,0.0864771359189392,-0.100219005395011
cg00989853,1,209979345,,,NA,IRF6;IRF6,5'UTR;1stExon,chr1:209979316-209979666,Island,-0.211132900240984,0.0504226210068562,0.517044851707735,0.10511259718143,0.0816182159327574,0.00251579607938163,0.385813545463137,0.25607031182588,0.378046044548902,0.322610149852284
cg00996827,1,2838805,,,NA,,,,,0.215078664256047,-0.177231558623943,0.583699200939596,0.100032340805877,0.750997162317073,0.00467054670375494,0.0974561681041036,0.0781705448016008,0.0102681891582057,-0.0784515948769995
cg01515515,1,92414295,,,NA,BRDT,TSS1500,chr1:92414718-92414986,N_Shore,-0.125144837942731,-0.0227785117595271,0.489480061796302,0.109151893591607,0.285746713791159,0.0134347277251549,0.173490896689444,0.0464579061769383,0.097120880294856,0.204605276674076
cg01730970,1,27687074,,,NA,MAP3K6,Body,chr1:27687024-27687743,Island,0.0288213400275234,-0.00184345085393689,0.37524897492235,0.117333367398444,0.0539504240091463,0.000963050104209548,0.177187280429629,0.0829960595464575,0.0470035706508117,0.116574147501983
cg01783894,1,27858917,,,NA,,,chr1:27854416-27854963,S_Shelf,0.333174559192703,-0.079752501706034,0.617481125657781,0.117905918553685,0.795418641615854,0.00385908199922893,0.134176757487478,0.0916691662591988,-0.0359604393256442,-0.0972342864656309
cg01793449,1,3663339,,,NA,KIAA0495;KIAA0495,1stExon;5'UTR,chr1:3662963-3664085,Island,-0.214051121543791,0.192345108607357,0.41708173805636,0.122412810658726,0.0742258771051829,0.00174512705600605,0.30943038052701,0.122165564791493,0.123312775040781,0.181352080962145
cg02030454,1,35250489,,,NA,GJB3;GJB3,Body;Body,chr1:35250418-35250736,Island,0.243292521032085,-0.107216120406853,0.682331412099647,0.11602962464541,0.917646798368902,0.00139695009554397,0.0470315113015823,0.0762607191430438,-0.0428305522798338,-0.124420539665452
cg02057833,1,228872246,,,NA,RHOU,Body,chr1:228870810-228872297,Island,-0.18269627220493,-0.0228693521699441,0.304499463138538,0.104327623912572,0.0495626904246951,0.000419710053466082,0.243927633714504,-0.0533674647557453,0.166474506210631,0.245489023022274
cg02390319,1,3310268,,,NA,PRDM16;PRDM16,Body;Body,chr1:3310102-3311035,Island,-0.111416045272823,0.0734719970432969,0.251536311823962,0.110307156921346,0.0321247678233232,0.000658215445306863,0.197557658409109,0.0215874398556948,0.126077255899381,0.0925303957300111
cg02710296,1,182921851,,,NA,C1orf14,Body,chr1:182921819-182922644,Island,-0.181928492290332,0.0362173581691657,0.575413413262608,0.108113271781069,0.33719588195122,0.0160949477521976,0.229525050026092,0.110759205006307,0.173814679524845,0.175997337420338
cg02837536,1,4771682,,,NA,AJAP1;AJAP1,Body;Body,chr1:4771652-4772545,Island,-0.156738899225006,0.188450049687826,0.422677522921893,0.100590045031265,0.124462359370427,0.00314219185597872,0.288529130182888,0.311139690927095,0.315435976875003,0.0813196205002198
cg03254465,1,3240227,,,NA,PRDM16;PRDM16,Body;Body,chr1:3239915-3240261,Island,0.0759888386567485,-0.117733078428066,0.550328637168125,0.110409180158585,0.237489194603659,0.00347802080861116,0.0613289066576818,-0.0257144383312857,-0.0170331137800824,0.115936443237335
cg03583857,1,208085022,,,TRUE,CD34;CD34,TSS1500;TSS1500,chr1:208084098-208084513,S_Shore,-0.0359985203640884,-0.153740629342523,0.508485092077064,0.111601888303812,0.34783093375,0.0014645768404233,-0.218256749927067,-0.25380711911346,-0.138461538461538,0.166844308941419
cg03654735,1,38100826,,,NA,RSPO1,TSS1500,chr1:38099677-38100864,Island,0.0769308898153447,0.137805780040015,0.354376105146869,0.102436027193283,0.117948793338415,0.00235766026621144,0.256464768072054,0.215244090346916,0.229743644529179,0.21849999794554
cg03982831,1,182669315,,,NA,,,,,-0.141320004301979,0.170584033984424,0.558256757552102,0.101397304930888,0.169165859771341,0.00667090942506357,0.153634955397682,0.112282792257153,0.0361560238810386,0.135639532733705
cg03990033,1,208084030,rs60323637,,NA,CD34;CD34,Body;Body,chr1:208084098-208084513,N_Shore,0.00317058579293681,0.0483681936410414,0.332269097036435,0.109654691648389,0.104100476268293,0.00162520866347694,-0.155888286703948,-0.208490670698886,-0.114228776404942,0.116373632243511
cg04138112,1,167090618,,,NA,DUSP27,Body,chr1:167090575-167091010,Island,-0.209607204821827,-0.0416305846441617,0.257407904372192,0.117059897330813,0.0396331620394817,0.00145486298327105,0.275765183483788,0.0219145098264803,0.0816565518771597,0.0418526295028619
cg05047401,1,156131213,,,NA,SEMA4A,Body,,,-0.283189949463557,0.104434394932014,0.506117881323978,0.121295794449484,0.148481178810976,0.00237306483451532,-0.0158612500154084,-0.0682269602626421,-0.0483841675124192,0.238704375588089
cg05337761,1,2121349,,,NA,C1orf86;LOC100128003;C1orf86,Body;Body;Body,chr1:2121017-2121818,Island,0.00333745872940717,-0.100890205266697,0.407297266683121,0.103918556187758,0.380672142332317,0.0169940459566295,0.239404535425047,0.0424952644705863,-0.00580754644105961,0.0534578609788267
cg06035600,1,27687454,rs35659744,,NA,MAP3K6,Body,chr1:27687024-27687743,Island,0.104538907408236,-0.182568792419742,0.622878264163279,0.108504061717771,0.507400554268293,0.00687559859219378,0.194906583721284,0.0790416356785675,-0.0151972486676829,0.0509333410033159
cg06350097,1,161474970,,,NA,FCGR2A;FCGR2A,TSS1500;TSS1500,,,0.270322648603604,0.00134738818483579,0.629595621450168,0.128882463442716,0.68259984679878,0.00886137910018384,-0.000329535322324169,-0.0147584160938148,0.0387134152103972,-0.0340637622086263
cg06878499,1,239621510,,,NA,,,,,-0.121532819800609,-0.151813587230555,0.302638408901804,0.104774946370724,0.0953104203353659,0.00103937764055876,0.0427960373582936,-0.092255919925382,-0.056043192958956,0.0862914127696992
