	f6hyper_in_lamina	f6hypo_in_lamina	f8hyper_in_lamina	f8hypo_in_lamina	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hyper_in_lamina	koch_senescence_hypo	koch_senescence_hypo_in_lamina
UP00159_1_Six2_2307.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00100_1_Gata6_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0072.1.RORA_2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00087_2_Tcfap2c_secondary	1.0	1.0	1.0	1.0	1.0	0.998736365237	1.0	1.0	1.0	1.0	1.0	1.0
UP00183_1_Hoxa13_3126.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999999952494	1.0
UP00081_2_Mybl1_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00253_1_Rax_3443.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0150.1.NFE2L2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00240_1_Cdx1_2245.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00201_1_Emx2_3420.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00230_1_Dlx5_3419.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00168_1_Hoxd8_2644.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00391_1_Hoxa3_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0148.1.FOXA1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00182_1_Hoxa6_1040.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00099_1_Ascl2_primary	1.0	0.995931345908	1.0	1.0	1.0	0.964415925013	1.0	1.0	1.0	1.0	1.0	1.0
UP00235_1_Hoxc11_3718.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999999370752	0.954567725054
UP00080_1_Gata5_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0006.1.Arnt::Ahr	0.0	0.0	2.07349935e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.00119857084281	0.0	0.0
UP00047_2_Zbtb7b_secondary	1.0	1.0	1.0	1.0	0.985849762031	0.847451105145	1.0	1.0	1.0	1.0	1.0	1.0
UP00008_3_Six6_2267.4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00024_1_Glis2_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00025_1_Foxk1_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0161.1.NFIC	1.0	1.0	1.0	0.999999999999	1.0	0.993713996362	0.0619000420996	1.0	1.0	1.0	1.0	0.99733088377
UP00248_1_Pax7_3783.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00107_1_Nkx2-4_3074.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00089_3_Tcf1_2666.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00050_2_Bhlhb2_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00406_1_Spdef_primary	1.0	0.999999999991	0.153509810422	0.997945532617	0.388677770432	0.908450133922	0.766656512104	0.97041824941	0.987771399216	1.0	0.999281796509	1.0
UP00047_1_Zbtb7b_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0061.1.NF-kappaB	1.0	1.0	1.0	1.0	1.0	0.999999999781	1.0	1.0	0.987841245326	1.0	1.0	1.0
UP00267_1_Otx2_3441.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0142.1.Pou5f1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00030_1_Sox11_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00018_1_Irf4_primary	1.0	1.0	1.0	0.99999992944	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00084_1_Gmeb1_primary	1.0	0.997602178066	1.0	1.0	1.0	0.583886495176	0.999989840738	1.0	0.0543443989417	1.0	0.999984819705	1.0
MA0018.2.CREB1	0.987504147892	2.30840365878e-06	0.00699977674513	0.76603252439	0.00743712213578	5.89528426076e-14	4.2430599958e-05	0.00882582435709	1.31967288923e-05	1.0	0.0026556785909	1.0
UP00081_1_Mybl1_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99999999904	1.0	2.65964986604e-05	0.322333075456
MA0067.1.Pax2	1.0	0.000496091452685	1.0	9.59726987178e-05	0.999856820652	3.76809467906e-06	0.107493457778	8.06621325289e-09	0.0264130606485	1.0	0.0264218662339	0.999904299072
MA0098.1.ETS1	0.100578442932	0.0	0.0	0.0003358111861	0.0	0.0	0.0	0.0	0.0	0.00131913849735	0.0	1.75406451007e-05
UP00155_1_Hmx2_3424.3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0068.1.Pax4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00041_1_Foxj1_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00142_1_Uncx4.1_2281.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0141.1.Esrrb	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0122.1.Nkx3-2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00181_1_Barx1_2877.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00243_1_Isx_3445.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00035_1_Hic1_primary	1.0	1.0	1.0	0.999946125258	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00160_1_Obox3_3439.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00147_1_Nkx2-6_3437.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00097_1_Mtf1_primary	1.0	0.988096797386	0.967698553798	1.0	1.0	0.00631079292103	0.0692821752784	1.0	0.999999999996	1.0	1.0	1.0
MA0032.1.FOXC1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00177_1_Hoxd12_3481.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999278682036	1.0	0.146453566879	0.600162621123
UP00056_2_Rfx4_secondary	1.0	0.999999983777	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00064_1_Sox18_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00237_1_Otp_3496.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00029_1_Tbp_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00166_1_Barhl1_2590.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00012_1_Bbx_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00070_2_Gcm1_secondary	1.0	0.999999983777	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00250_1_Irx5_2385.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00238_1_Nkx6-3_3446.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0073.1.RREB1	1.0	1.0	1.0	1.0	1.0	1.0	0.998914147321	1.0	1.0	1.0	1.0	1.0
MA0037.1.GATA3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0071.1.RORA_1	1.0	1.0	1.0	0.315676387799	0.99999999616	1.0	1.0	0.00138561759658	1.0	1.0	1.0	1.0
UP00211_1_Pou3f3_3235.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00002_2_Sp4_secondary	1.0	0.562818206099	1.0	0.391980669222	0.891331765178	0.000245462084928	1.0	0.067476543077	0.147276711014	1.0	0.927692338943	0.600162621123
UP00040_1_Irf5_primary	1.0	1.0	1.0	0.999921404847	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0070.1.PBX1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00212_1_Lhx5_2279.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00030_2_Sox11_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0077.1.SOX9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00070_1_Gcm1_primary	1.0	0.105561134756	1.0	0.990621841766	1.0	0.114042393184	1.0	0.999926263031	1.0	1.0	0.00840225848064	0.600162621123
UP00023_2_Sox30_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00200_2_Nkx6-1_2825.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00179_1_Pou2f3_3986.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00027_1_Osr1_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0104.2.Mycn	1.0	0.665590799305	1.0	0.0158660512644	0.930365842969	0.00973489186687	0.02227440938	0.0514548483562	0.043465798162	1.0	0.0	5.18848356501e-08
UP00073_1_Foxa2_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00007_1_Egr1_primary	1.0	1.0	1.0	1.0	1.0	0.999999466878	0.999992736959	1.0	0.00575002786109	1.0	0.999281796509	1.0
UP00007_2_Egr1_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00101_2_Sox12_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00105_1_Pou3f4_3773.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0132.1.Pdx1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00252_1_Hoxc5_2630.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00020_1_Atf1_primary	1.0	0.986180603849	1.0	1.0	1.0	0.0259734499927	1.0	1.0	0.99986220871	1.0	0.943065957738	1.0
UP00171_1_Msx3_3206.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00049_2_Sp100_secondary	1.0	1.0	1.0	1.0	1.0	0.996544084573	1.0	1.0	0.999984441986	1.0	1.0	1.0
MA0018.1.CREB1	1.0	0.0273450540017	0.999995055644	1.0	0.989304106048	4.47064813602e-06	1.0	1.0	0.00682003120303	1.0	0.999923882634	1.0
UP00010_1_Tcfap2b_primary	1.0	1.0	1.0	1.0	1.0	0.999999995483	0.999999804911	1.0	0.935476919519	1.0	1.0	1.0
MA0079.2.SP1	1.0	0.999999998251	0.999998966238	1.0	0.63922382076	0.635239640269	0.965192340756	0.999980057192	1.11457509888e-11	1.0	0.00996298838278	0.999999993918
UP00069_1_Sox1_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00001_2_E2F2_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.960801828923	1.0	1.0	1.0	1.0
UP00054_1_Tcf7_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0059.1.MYC::MAX	1.0	0.986494550526	1.0	1.0	1.0	0.0241620131749	0.999999973771	1.0	0.999999634817	1.0	0.0	4.15001366605e-13
UP00096_2_Sox13_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00227_1_Duxl_1286.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0149.1.EWSR1-FLI1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00261_1_Lhx4_1719.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00258_1_Tgif2_3451.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00135_1_Hoxc12_3480.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99999283817	1.0	0.927692338943	0.999999587372
UP00203_1_Pknox1_2364.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00103_1_Jundm2_primary	1.0	1.0	1.0	1.0	1.0	0.0493328895827	0.99999999999	1.0	0.98389505584	1.0	1.0	1.0
UP00034_2_Sox7_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0047.1.Foxa2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0100.1.Myb	1.0	1.0	1.0	1.0	1.0	0.167193359673	1.0	1.0	0.999972519502	1.0	1.0	1.0
UP00185_1_Pbx1_3203.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00223_1_Irx3_0920.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00057_2_Zic2_secondary	1.0	1.0	1.0	0.997398961465	1.0	0.952137077671	1.0	0.999999999948	1.0	1.0	1.0	1.0
UP00071_2_Sox21_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00054_2_Tcf7_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0104.1.Mycn	0.000347854257167	0.0	3.67252894762e-11	8.76995143173e-11	0.0	0.0	0.0	0.0	0.0	0.193594736277	0.0	0.0
MA0113.1.NR3C1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00164_1_Hoxa7_2668.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00246_1_Hoxa11_2218.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.204402761397	0.0694596572621
UP00068_2_Eomes_secondary	1.0	1.0	1.0	1.0	1.0	0.999793226432	0.989974178481	1.0	0.0816086910713	1.0	1.0	1.0
UP00264_1_Hoxa1_3425.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00184_1_Lhx8_2247.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00123_1_Hlxb9_3422.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00191_1_Pou2f2_3748.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0024.1.E2F1	1.0	1.0	1.0	1.0	0.597511525852	0.626366595582	0.999999999998	0.0429305083848	1.40395925998e-05	0.999995710806	1.0	1.0
MA0109.1.Hltf	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0027.1.En1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00195_1_Six3_1732.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0136.1.ELF5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0004.1.Arnt	0.000347854257167	0.0	3.67252894762e-11	8.76995143173e-11	0.0	0.0	0.0	0.0	0.0	0.193594736277	0.0	0.0
UP00027_2_Osr1_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00098_1_Rfx3_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00094_2_Zfp128_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00130_1_Lhx3_3431.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00120_1_Lbx2_3869.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00000_1_Smad3_primary	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999971	1.0	1.0	1.0	1.0	1.0
MA0144.1.Stat3	1.0	1.0	0.999999917352	1.0	1.0	1.0	0.999612161054	1.0	1.0	1.0	1.0	1.0
MA0115.1.NR1H2::RXRA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0039.1.Klf4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0090.1.TEAD1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00115_1_Lhx2_0953.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0099.1.Fos	1.0	1.0	1.0	0.999999999998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00066_2_Hnf4a_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0038.1.Gfi	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00074_1_Isgf3g_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00205_1_Pknox2_3077.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00125_1_Pitx2_2274.3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00036_1_Myf6_primary	1.0	1.0	1.0	1.0	1.0	0.999172224415	1.0	1.0	1.0	1.0	1.0	1.0
UP00103_2_Jundm2_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00046_2_Tcfe2a_secondary	1.0	1.0	1.0	1.0	1.0	0.999999965445	1.0	1.0	1.0	1.0	1.0	1.0
UP00045_2_Mafb_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00037_1_Zfp105_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00006_2_Zic3_secondary	1.0	0.999999998722	1.0	0.465144153838	1.0	0.900015276063	1.0	1.0	1.0	1.0	1.0	1.0
UP00092_2_Myb_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00233_1_Meox1_2310.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00209_2_Cart1_1275.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0063.1.Nkx2-5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00406_2_Spdef_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0035.1.Gata1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00188_1_Lmx1a_2238.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
IRF8_ISRE_KANNO	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00078_1_Arid3a_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00223_2_Irx3_2226.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00234_1_Msx1_3031.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0133.1.BRCA1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00015_2_Ehf_secondary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.999999999982	1.0
MA0056.1.MZF1_1-4	1.0	2.10151515457e-05	1.0	1.0	1.0	1.90647497789e-11	1.78869166561e-05	1.0	0.000105320693382	0.999957030494	1.01368809013e-07	0.0772418674599
MA0081.1.SPIB	1.0	1.0	0.997084932633	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0099.2.AP1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00060_2_Max_secondary	1.0	0.935149066129	1.0	1.0	0.971982075809	0.0156930825669	1.0	0.999997522128	0.624866713836	1.0	0.00235648438292	0.00434496332144
MA0066.1.PPARG	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0164.1.Nr2e3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0036.1.GATA2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00034_1_Sox7_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0108.1.TBP	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00162_1_Evx1_3952.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00062_1_Sox4_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00174_1_Hoxa2_3079.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00127_1_Gsh2_3990.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
