baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	ens_gene_id	entrez_gene_id
4088.69136886002	3.09166782047621	0.135683620326526	6.33288360996457e-115	1.87263368346652e-110	DKK1	ENSG00000107984	22943
14222.1203595884	1.25798160935808	0.0697639846502666	1.0933948484099e-72	1.61658428337404e-68	PEA15	ENSG00000162734	8682
532.517485627068	-2.24369908292409	0.132327149749865	1.74676989243009e-64	1.72173285730526e-60	KIF23	ENSG00000137807	9493
376.125473598107	2.93477484576636	0.175486475231279	8.81472322227668e-63	6.51628414206804e-59	FAM167A	ENSG00000154319	83648
2242.39101652458	1.65812134918824	0.100275817305961	2.03324988452986e-61	1.20246398171096e-57	PERP	ENSG00000112378	64065
3945.11212137451	1.73606696918014	0.106389833450603	7.35309820475174e-60	3.62385189857515e-56	SRGN	ENSG00000122862	5552
365.155221184468	2.03219575385598	0.12470098149939	1.04422774846465e-59	4.41111636029995e-56	KRTAP1-5	ENSG00000221852	83895
27634.6918964574	1.90280779747089	0.118872637165481	1.13976112768062e-57	4.21284206818951e-54	EFEMP1	ENSG00000115380	2202
204.329815782944	5.12053402261752	0.320322434774426	1.6110835601931e-57	5.29330454165665e-54	GPR133	ENSG00000111452	283383
409.190203546733	-2.60626579101696	0.163692102447196	4.47632029913189e-57	1.3236479124533e-53	CDKN2C	ENSG00000123080	1031
19277.4249279457	1.33506389433838	0.0847927017582857	7.42922555088191e-56	1.99711090490526e-52	MAP1B	ENSG00000131711	4131
3844.80348594289	2.58933715757794	0.168832927113856	4.34851469596402e-53	1.07154649633047e-49	SVEP1	ENSG00000165124	79987
6921.3494585436	1.21288858227703	0.0798042119695519	3.62901625601657e-52	8.25461620695462e-49	MXRA7	ENSG00000182534	439921
1301.55676782604	-2.88091774398294	0.192742061487953	1.62897932794334e-50	3.44063705194891e-47	CENPF	ENSG00000117724	1063
313.619068213998	2.88177282301712	0.195733140346124	4.59059779247252e-49	9.0495984482275e-46	HTR2A	ENSG00000102468	3356
985.437438050892	-2.15984716593385	0.147382034042844	1.2561434422666e-48	2.32151009923896e-45	NA	ENSG00000122966	NA
959.320183014845	2.46188762871658	0.173807437725839	1.52041900850203e-45	2.64463471067088e-42	PRSS12	ENSG00000164099	8492
1065.94277725133	1.73890564608212	0.123138504772407	2.79798585647505e-45	4.59646898755374e-42	HIST1H2AC	ENSG00000180573	8334
376.3681155781	1.5893808572727	0.115291824786512	3.10650068790998e-43	4.83469607060516e-40	RAB6B	ENSG00000154917	51560
36391.0453038896	2.46973905984985	0.180860595420411	1.87239807970506e-42	2.76834056084394e-39	CCND1	ENSG00000110092	595
1534.56270183715	1.17243707543266	0.0860826268554124	3.04970215505512e-42	4.29427108214191e-39	CPED1	ENSG00000106034	79974
391.450351779385	1.74813755107074	0.129953608807206	2.99606189596076e-41	4.02697955743453e-38	FGL2	ENSG00000127951	10875
68321.8365364998	1.18197681838867	0.0887448360379616	1.79920116635101e-40	2.31314689082605e-37	CTSB	ENSG00000164733	1508
2617.28225857636	-1.19102184489876	0.0897370986473838	3.34927462431722e-40	4.12658544337751e-37	LMNB2	ENSG00000176619	84823
256.334169511346	-2.33209588112214	0.183175533495253	3.95268121196851e-37	4.67523133751636e-34	CCNF	ENSG00000162063	899
9940.46072217325	1.13418128680916	0.0907586405268591	7.78388102734007e-36	8.85266776840176e-33	CYBRD1	ENSG00000071967	79901
240.008348476697	-2.03851669107562	0.163902818157966	1.63850437762342e-35	1.79446572023424e-32	RNASEH2A	ENSG00000104889	10535
683.06421194288	2.74600399372407	0.221874092684352	3.50695835099204e-35	3.70359851567267e-32	NA	ENSG00000178882	NA
1282.70735571009	3.96847058961616	0.321369058063232	4.95422482798449e-35	5.05160097115522e-32	CCND2	ENSG00000118971	894
400.442686915695	-1.97315689441344	0.160681809780026	1.16138703850551e-34	1.1447404909536e-31	KIF22	ENSG00000079616	3835
1375.13504224928	1.1431123606729	0.0939405717691159	4.57618949578253e-34	4.36509430291256e-31	ANK2	ENSG00000145362	287
3230.04300747142	0.859706497217033	0.0711351654449916	1.25948402417041e-33	1.16384195608497e-30	KIF3B	ENSG00000101350	9371
928.754235558695	2.19568806440331	0.18184225085171	1.43711928298631e-33	1.2877459756941e-30	PNMA2	ENSG00000240694	10687
139.755674062991	-2.89553012923912	0.242032808418451	5.52665826592518e-33	4.80656720362963e-30	KYNU	ENSG00000115919	8942
7149.33066339216	0.849423485265273	0.0716428686390677	1.99464411614965e-32	1.685189328987e-29	MACF1	ENSG00000127603	23499
814.50158283782	1.0368963251123	0.0886544589543462	1.33714656826575e-31	1.09831733398939e-28	C7orf41	ENSG00000180354	222166
5437.17303957438	1.03565681904823	0.0888455574934941	2.11801796529739e-31	1.65029844147815e-28	SETD7	ENSG00000145391	80854
977.927687373367	-2.09772355887646	0.179958445273994	2.12077581251842e-31	1.65029844147815e-28	HMGB2	ENSG00000164104	3148
108642.172962097	0.60581375891509	0.0520095501937002	2.34562106570946e-31	1.77846192084689e-28	NA	ENSG00000210082	NA
18727.6754929024	1.49291060595539	0.128424443415865	3.08254540907628e-31	2.27877169365964e-28	STC2	ENSG00000113739	8614
