"fibroblasts_f6_hyper"	"fibroblasts_f6_hypo"	"fibroblasts_f8_hyper"	"fibroblasts_f8_hypo"	"koch_senescence_hyper"	"koch_senescence_hypo"
"UP00081_1_Mybl1_primary"	1	1	1	1	0.99999999904	2.65964986604e-05
"UP00007_1_Egr1_primary"	1	0.999999466878	0.999992736959	1	0.00575002786109	0.999281796509
"MA0024.1.E2F1"	0.597511525852	0.626366595582	0.999999999998	0.0429305083848	1.40395925998e-05	1
"MA0004.1.Arnt"	0	0	0	0	0	0
"MA0162.1.Egr1"	9.19451675655e-05	3.34132721491e-11	0.000769867846076	0.00165410057576	5.2911772741e-09	0.000850996373098
"MA0259.1.HIF1A::ARNT"	0.94864102298	1.5059997005e-07	0.00439105081628	0.412108860807	0.987771399216	0.000110544698943
"UP00100_2_Gata6_secondary"	0.000288192457764	0.986321135994	1	0.947747442343	1	0.981190844813
"MA0158.1.HOXA5"	0.999935271488	1	1	5.89528426076e-12	1	1
"UP00001_1_E2F2_primary"	0.00249242245981	0.404788445342	1	0.150806891102	0.000284496691219	0.957245883712
"UP00092_1_Myb_primary"	0.999999999466	1	1	1	0.981797052951	2.65964986604e-05

